Latitude,Longitude,Magnitude,Year,Month,Day,Time
-14.89,166.756,5.7,1967,08,12,12:30:58
35.388,135.43,6.3,1967,08,13,20:06:52
43.094,-0.731,5.7,1967,08,13,22:07:48
-4.41,152.439,6.3,1967,08,13,22:15:11
31.079,93.639,5.7,1967,08,15,09:21:03
0.873,98.876,5.7,1967,08,16,19:19:04
27.693,127.685,5.6,1967,08,18,03:35:42
10.295,125.881,6.0,1967,08,19,15:28:07
-12.481,166.652,5.7,1967,08,19,15:41:54
-25.265,-69.044,5.8,1967,08,20,15:03:36
3.697,95.669,6.6,1967,08,21,07:33:03
-60.761,-24.301,6.6,1967,08,22,13:02:05
-60.898,-23.378,5.7,1967,08,22,13:17:02
43.565,147.578,5.6,1967,08,24,03:21:19
-14.94,166.902,5.8,1967,08,24,10:32:55
12.173,140.765,6.2,1967,08,26,00:36:42
12.273,140.896,5.6,1967,08,26,02:07:10
31.633,100.262,6.4,1967,08,30,04:22:04
31.587,100.255,5.8,1967,08,30,11:08:49
45.444,151.353,6.0,1967,08,30,13:33:28
-5.615,147.201,5.7,1967,09,01,03:31:11
-10.656,-79.674,7.0,1967,09,03,21:07:29
-31.278,-179.422,6.5,1967,09,04,03:52:00
14.596,93.48,5.7,1967,09,06,07:30:12
2.626,124.226,5.9,1967,09,07,07:12:37
12.27,140.953,6.1,1967,09,08,22:37:39
-27.623,-63.23,6.7,1967,09,09,10:06:45
-54.55,-136.196,6.3,1967,09,09,16:52:02
52.741,172.489,5.6,1967,09,13,18:41:16
35.607,140.738,5.8,1967,09,15,00:28:39
27.338,91.91,5.8,1967,09,15,10:32:44
51.721,-176.222,5.6,1967,09,16,08:31:58
-5.985,146.6,5.8,1967,09,18,15:33:07
43.065,145.297,6.1,1967,09,19,10:56:10
-57.799,-23.802,6.3,1967,09,19,12:45:33
-49.736,164.009,7.0,1967,09,20,09:39:16
-49.588,163.812,5.7,1967,09,20,10:30:54
-20.729,169.932,6.2,1967,09,20,10:37:18
44.626,149.487,6.2,1967,09,22,10:18:00
-33.463,-70.532,5.9,1967,09,26,11:11:25
-30.086,-71.446,6.2,1967,09,26,16:11:24
-6.52,153.465,6.2,1967,09,28,04:56:54
59.335,-147.157,5.9,1967,09,28,15:44:56
28.984,129.95,5.7,1967,09,30,07:57:22
10.878,-85.964,6.2,1967,10,03,18:16:07
-5.631,153.959,6.8,1967,10,04,17:21:19
49.107,156.309,5.6,1967,10,07,08:28:02
-9.445,148.843,5.7,1967,10,08,16:59:36
-5.623,154.057,5.9,1967,10,08,18:08:15
-21.182,-179.186,7.2,1967,10,09,17:21:49
30.449,142.687,5.6,1967,10,11,15:52:15
-21.025,-179.146,5.6,1967,10,12,06:35:08
52.13,152.592,5.8,1967,10,12,12:53:46
-7.131,129.828,6.0,1967,10,12,18:31:43
11.925,-85.872,7.1,1967,10,15,08:00:52
1.715,127.493,5.7,1967,10,16,16:58:03
17.241,121.886,5.7,1967,10,17,21:05:24
79.765,2.851,6.0,1967,10,18,01:11:44
-33.799,-179.34,5.7,1967,10,18,22:06:26
24.401,122.218,6.8,1967,10,25,00:59:25
24.416,122.275,5.7,1967,10,26,00:22:24
-4.624,135.649,5.7,1967,11,01,18:56:55
-17.727,-178.856,5.6,1967,11,04,10:17:14
37.317,141.846,6.0,1967,11,04,13:26:47
43.523,144.316,6.7,1967,11,04,14:30:39
43.502,144.261,5.6,1967,11,04,14:46:03
-2.704,-77.631,6.1,1967,11,04,16:26:49
-15.043,-172.636,5.6,1967,11,07,03:49:20
16.853,-85.789,5.6,1967,11,08,03:10:54
-5.233,133.932,5.6,1967,11,08,06:07:22
51.094,178.524,5.8,1967,11,08,17:09:29
-7.163,123.752,6.2,1967,11,09,02:18:48
-6.157,71.342,5.9,1967,11,11,12:14:57
-17.279,-171.847,6.4,1967,11,12,10:36:51
-5.46,147.112,5.9,1967,11,14,05:28:39
-28.865,-71.369,6.3,1967,11,15,21:31:56
28.381,-43.765,5.7,1967,11,17,04:58:57
36.44,141.272,5.8,1967,11,19,12:07:00
-22.642,171.04,6.4,1967,11,19,17:29:20
72.763,8.011,5.7,1967,11,21,17:02:25
-22.687,170.92,5.9,1967,11,22,15:19:26
14.432,52.099,6.5,1967,11,23,08:35:54
80.161,-0.794,6.5,1967,11,23,13:42:04
28.583,130.138,5.7,1967,11,26,00:08:12
-8.046,112.981,5.7,1967,11,26,02:54:05
-31.128,-71.396,5.6,1967,11,27,05:13:14
32.165,130.844,5.6,1967,11,28,02:36:56
41.386,20.532,6.7,1967,11,30,07:23:52
49.439,154.435,6.3,1967,12,01,13:57:04
-14.591,167.312,5.6,1967,12,07,09:49:37
-10.862,164.226,5.8,1967,12,09,10:50:45
40.478,-124.656,5.6,1967,12,10,12:06:55
17.412,73.885,6.6,1967,12,10,22:51:23
47.594,152.727,5.8,1967,12,13,10:38:26
-19.164,168.656,5.7,1967,12,13,19:07:14
51.22,157.619,6.0,1967,12,16,20:54:03
12.062,143.799,5.7,1967,12,18,14:04:22
-21.865,-69.939,7.3,1967,12,21,02:25:26
-5.206,151.831,5.9,1967,12,23,13:23:15
17.351,-61.232,6.4,1967,12,24,20:03:12
17.543,-61.31,6.2,1967,12,24,21:32:33
-5.208,153.742,7.2,1967,12,25,01:23:32
-21.58,-70.299,6.3,1967,12,25,10:41:32
-21.362,-68.311,6.7,1967,12,27,09:17:54
-22.548,-174.673,6.5,1967,12,27,16:22:47
-7.103,154.844,5.7,1967,12,31,15:05:33
