zip_code,label,department_name,department_number,region_name
9700,brie,ariège,09,occitanie
39250,la latette,jura,39,bourgogne-franche-comté
9290,camarade,ariège,09,occitanie
39170,lavans les st claude,jura,39,bourgogne-franche-comté
9500,camon,ariège,09,occitanie
39170,lavans les st claude,jura,39,bourgogne-franche-comté
9460,carcanieres,ariège,09,occitanie
39170,lavans les st claude,jura,39,bourgogne-franche-comté
9500,cazals des bayles,ariège,09,occitanie
39210,lavigny,jura,39,bourgogne-franche-comté
9230,cerizols,ariège,09,occitanie
39210,lavigny,jura,39,bourgogne-franche-comté
9310,chateau verdun,ariège,09,occitanie
39260,lect,jura,39,bourgogne-franche-comté
39110,lemuy,jura,39,bourgogne-franche-comté
39300,lent,jura,39,bourgogne-franche-comté
39250,longcochon,jura,39,bourgogne-franche-comté
39380,la loye,jura,39,bourgogne-franche-comté
39270,marnezia,jura,39,bourgogne-franche-comté
39600,mesnay,jura,39,bourgogne-franche-comté
39250,mignovillard,jura,39,bourgogne-franche-comté
39250,mignovillard,jura,39,bourgogne-franche-comté
39800,molain,jura,39,bourgogne-franche-comté
39500,molay,jura,39,bourgogne-franche-comté
39230,monay,jura,39,bourgogne-franche-comté
39100,monnieres,jura,39,bourgogne-franche-comté
39800,montholier,jura,39,bourgogne-franche-comté
39600,montigny les arsures,jura,39,bourgogne-franche-comté
39300,montigny sur l ain,jura,39,bourgogne-franche-comté
39290,montmirey la ville,jura,39,bourgogne-franche-comté
39290,montmirey le chateau,jura,39,bourgogne-franche-comté
39300,montrond,jura,39,bourgogne-franche-comté
39400,morbier,jura,39,bourgogne-franche-comté
39250,mournans charbonny,jura,39,bourgogne-franche-comté
39310,les moussieres,jura,39,bourgogne-franche-comté
39300,moutoux,jura,39,bourgogne-franche-comté
39160,les trois chateaux,jura,39,bourgogne-franche-comté
39270,nancuise,jura,39,bourgogne-franche-comté
39300,les nans,jura,39,bourgogne-franche-comté
39380,nevy les dole,jura,39,bourgogne-franche-comté
39210,nevy sur seille,jura,39,bourgogne-franche-comté
39290,offlanges,jura,39,bourgogne-franche-comté
39270,onoz,jura,39,bourgogne-franche-comté
39270,orgelet,jura,39,bourgogne-franche-comté
39350,pagney,jura,39,bourgogne-franche-comté
39230,passenans,jura,39,bourgogne-franche-comté
39120,peseux,jura,39,bourgogne-franche-comté
39800,picarreau,jura,39,bourgogne-franche-comté
