zip_code,latitude,longitude,department_number
58530,47.429737821,3.624267859,58
58000,46.94196697,3.140253373,58
58700,47.244720142,3.45042992,58
58300,46.853200997,3.523436401,58
58800,47.251871128,3.643272447,58
58350,47.348513898,3.246722321,58
58800,47.256108779,3.689402188,58
58300,46.75584565,3.5098283500000003,58
58190,47.31839342,3.643605188,58
58120,47.071580028,3.845762646,58
58140,47.347358725,3.822286786,58
58800,47.17048431,3.731841261,58
58600,47.043647776,3.09366001,58
58300,46.74622068,3.572315444,58
58140,47.289145913,3.825318823,58
58380,46.698049547,3.49197907,58
58260,46.891574846,3.462345119,58
58400,47.230238077,3.00396493,58
58190,47.393000619,3.63581637,58
58140,47.194724629,3.860095553,58
58190,47.327325796,3.707138721,58
58250,46.876229584,3.74814841,58
58130,47.025418665,3.279291198,58
58230,47.214293843,4.033132574,58
58700,47.196501089,3.458811837,58
58450,47.532184059,2.890145485,58
58320,47.100804556,3.14618141,58
58220,47.404986749,3.164677484,58
58200,47.393831753,3.023949976,58
58400,47.17926708,3.11591039,58
58500,47.428512741,3.497810228,58
58110,47.038444956,3.540866134,58
58470,46.907173624,3.086845687,58
58310,47.548323784,3.078355821,58
58150,47.310384116,2.979820121,58
58130,47.142698568,3.188014293,58
58270,46.996333663,3.404599867,58
58230,47.267265254,4.095032233,58
58220,47.320917806,3.153157406,58
58190,47.347673421,3.620226539,58
58210,47.368787274,3.519227773,58
58120,47.06844189,3.887071717,58
58130,47.047771084,3.232701792,58
58490,46.850549482,3.184554383,58
58110,47.058655622,3.809291888,58
58210,47.397152106,3.445964737,58
58330,47.101706892,3.519020775,58
58190,47.356468636,3.699305614,58
58160,46.97672732,3.265716918,58
58170,46.783063431,3.834829642,58
58290,47.014754309,3.840844707,58
58300,46.860833962,3.406365103,58
58420,47.312462675,3.489728345,58
58110,47.05447347,3.723322788,58
58250,46.752204501,3.848258349,58
58110,47.001103423,3.587717764,58
58150,47.328811429,2.913507219,58
58260,46.911289164,3.422713491,58
58640,47.037171544,3.143816706,58
58140,47.226945644,3.818473294,58
58370,46.938009519,3.956586921,58
58210,47.376396559,3.438075945,58
39500,47.064796871,5.3777147020000005,39
39110,46.955778512,5.809725465,39
39110,46.859307701,5.9287358910000005,39
39120,46.959137146,5.277080177,39
39600,46.894404349,5.773071251,39
39300,46.772582561,5.876813684,39
39240,46.393818871,5.582269114,39
39600,46.952953571,5.78448162,39
39270,46.581654364,5.526378282,39
39190,46.561977614,5.389704364,39
39270,46.554958723,5.495274567,39
39100,47.125097086,5.5077556990000005,39
39130,46.542556338,5.702967812,39
39800,46.857207383,5.595263907,39
39250,46.820307882,6.116823945,39
39140,46.73099818,5.426692489,39
39130,46.580398304,5.721268625,39
39800,46.874338822,5.627977286,39
39110,46.93402991,5.938916487,39
39570,46.622738688,5.493457369,39
39380,46.990400377,5.703642578,39
39290,47.260097181,5.5044443,39
39300,46.744975968,5.8983600670000005,39
39500,47.007794972,5.390195236,39
39230,46.87911614,5.512528995,39
39230,46.868024219,5.4550856880000005,39
39130,46.52980412,5.809442391,39
39150,46.600726273,5.943755309,39
39150,46.66328688,5.957121204,39
39150,46.500781245,5.861824827,39
39240,46.347931605,5.5673489830000005,39
39240,46.347931605,5.5673489830000005,39
39240,46.347931605,5.5673489830000005,39
39190,46.499559331,5.43244807,39
39130,46.652848582,5.860571474,39
39370,46.30173613,5.770142336,39
39570,46.598515602,5.569052397,39
39300,46.695251604,5.982330751,39
39270,46.526997962,5.483738782,39
39230,46.825255392,5.60789332,39
39140,46.767768879,5.468146705,39
39230,46.769387126,5.587256626,39
39270,46.502347659,5.633946941,39
39160,46.389785344,5.397605725,39
39320,46.389785344,5.397605725,39
39570,46.715901208,5.534098399,39
39700,47.081906099,5.566900417,39
39800,46.753761219,5.71729563,39
39600,46.940273716,5.650059485,39
39130,46.672524779,5.814694447,39
39250,46.728653012,6.095349334,39
39210,46.787924716,5.631315523,39
39320,46.454282314,5.471075037,39
39150,46.528638867,5.909426948,39
39120,46.908635733,5.39126767,39
39110,46.899110215,5.849311438,39
39360,46.339008848,5.787878066,39
39260,46.394732447,5.672467609,39
39240,46.431656241,5.585594549,39
39400,46.463174814,5.963032775,39
39000,46.674816281,5.557754161,39
39700,47.183846224,5.614911678,39
39230,46.794726176,5.555211245,39
39240,46.446461908,5.528323143,39
39130,46.679329287,5.777720172,39
39600,46.929764738,5.679439534,39
39130,46.594424045,5.676992017,39
39570,46.663781838,5.515367551,39
39250,46.789982519,6.051455026,39
39250,46.789982519,6.051455026,39
39250,46.77774079,6.140716692,39
39290,47.188453105,5.532434426,39
39360,46.357518899,5.778193947,39
39320,46.457979807,5.511419574,39
39210,46.72079781,5.577984309,39
39400,46.557287203,6.016436172,39
39400,46.514383984,5.995902986,39
39330,46.977657836,5.789685614,39
39270,46.52992345,5.566253083,39
39160,46.419552874,5.35630085,39
39140,46.748424371,5.422699141,39
39120,46.904215976,5.339167367,39
39250,46.770131675,6.036061654,39
39270,46.519453561,5.598867642,39
39700,47.107219545,5.648897421,39
39300,46.798222911,5.897069634,39
39130,46.587333549,5.709553322,39
39290,47.197841354,5.473005162,39
39270,46.496029783,5.500632464,39
39210,46.725144633,5.555650076,39
39130,46.572002783,5.68755453,39
39110,46.87660733,5.899130373,39
39110,46.87660733,5.899130373,39
39270,46.557250928,5.581948101,39
39110,46.931565447,5.835326207,39
39600,46.87631303,5.751864403,39
39570,46.734446112,5.523936248,39
39290,47.157753345,5.473721798,39
39230,46.880519205,5.425733112,39
39410,47.032617038,5.333128565,39
39300,46.77921262,5.937871342,39
39320,46.386313329,5.443105612,39
39230,46.804267629,5.597646331,39
39150,46.56967647,5.962581102,39
39120,46.99639813,5.305116218,39
39150,46.568212339,5.903128161,39
39110,46.971606636,5.879766021,39
39110,46.967964379,5.9286458920000005,39
39120,46.944742626,5.54086847,39
39300,46.85419612,5.981511174,39
39300,46.696810431,5.951906666,39
39500,47.037624924,5.402858802,39
39110,46.904808449,5.929312164,39
39240,46.291657094,5.518713624,39
39240,46.291657094,5.518713624,39
39600,46.938400986,5.70563838,39
39300,46.828094158,5.873941085,39
39300,46.773442847,5.912066795,39
39300,46.687569019,5.928396074,39
39800,46.82299081,5.7271541290000005,39
39570,46.627807899,5.578234652,39
39240,46.358013539,5.611305625,39
39570,46.666549203,5.663880123,39
39260,46.406275962,5.73542808,39
39570,46.69523902,5.552303453,39
39600,46.993775096,5.760324831,39
39230,46.79367224,5.482371739,39
39210,46.743655872,5.602606518,39
39700,47.18360525,5.584358464,39
21121,47.371214576,5.020496119,21
21510,47.671659569,4.751193926,21
21230,47.19024207,4.420607175,21
21420,47.068008045,4.86156952,21
21230,47.101459482,4.559930499,21
21310,47.376096012,5.196336831,21
21350,47.437236808,4.498765424,21
21360,47.130283617,4.733758442,21
21580,47.616734359,5.007235333,21
21410,47.347733364,4.793730043,21
21320,47.286821843,4.546193821,21
21360,47.088015422,4.742875853,21
21110,47.145631552,5.147537611,21
21520,47.912010101,4.706966857,21
21330,47.843100453,4.426207708,21
21690,47.488803885,4.696760719,21
21200,46.981841328,4.83078393,21
21360,47.114906921,4.684266306,21
21330,47.899266371,4.468838468,21
21350,47.463090644,4.505321596,21
21390,47.410359424,4.418554279,21
21390,47.412152598,4.374237142,21
21500,47.656080482,4.274404797,21
21110,47.282556445,5.229085175,21
21320,47.273253678,4.477709,21
21290,47.79513604,4.918708604,21
21400,47.783268513,4.541453803,21
21500,47.554443111,4.347541103,21
21310,47.372195692,5.350008878,21
21170,47.099107946,5.154042673,21
21400,47.858369131,4.591958657,21
21360,47.179758123,4.642522175,21
21290,47.745545857,4.949646789,21
21400,47.933853839,4.593057339,21
21220,47.245760939,4.866785936,21
21270,47.295734009,5.50123924,21
21110,47.228638946,5.291997765,21
21200,46.99156924,4.903258281,21
21700,47.102585062,4.918586014,21
21320,47.249135548,4.652508683,21
21150,47.548960885,4.609722066,21
21120,47.534415573,4.95287413,21
21120,47.570003665,5.141515403,21
21220,47.203708131,4.910342158,21
21120,47.521595466,5.059769608,21
21000,47.322850621,5.037471304,21
21320,47.301451523,4.500483593,21
21500,47.588539264,4.467532468,21
21510,47.629318672,4.766439896,21
21270,47.323005489,5.322056752,21
21450,47.597679495,4.581363598,21
21290,47.827429144,4.866005642,21
21490,47.434258335,5.135486762,21
21150,47.509014232,4.518814817,21
21140,47.433067236,4.320016084,21
21410,47.300305297,4.863873416,21
21260,47.617293647,5.143105989,21
21220,47.220053292,4.982552955,21
21640,47.17760782,4.997427841,21
21580,47.673623157,5.024479447,21
21570,47.999372429,4.577357112,21
21150,47.551568194,4.496237286,21
21230,47.158291874,4.43763018,21
21450,47.625090219,4.604121726,21
21210,47.361757374,4.271783053,21
21130,47.159922549,5.379729648,21
21440,47.520315127,4.837284317,21
21370,47.34391981,4.865525397,21
21170,47.106852648,5.345970133,21
21330,47.897111685,4.424910489,21
21110,47.211203965,5.246810478,21
21290,47.852249374,4.862922237,21
21450,47.679433815,4.585917585,21
21170,47.111881596,5.169002847,21
21400,47.845075059,4.675938717,21
21350,47.348892074,4.6158959710000005,21
21200,47.008430095,4.95773717,21
21190,47.060963164,4.730776438,21
21190,46.953949309,4.848345096,21
21140,47.513640521,4.317826038,21
21510,47.681931213,4.808446076,21
21200,46.985757587,4.853444653,21
21610,47.568488741,5.450612855,21
21610,47.568488741,5.450612855,21
21210,47.331568537,4.267753395,21
21540,47.27226081,4.657937913,21
21320,47.28565988,4.411433989,21
21500,47.562129289,4.225073082,21
21800,47.273535518,5.112727427,21
21400,47.77285353,4.59824463,21
21910,47.188864915,5.08508035,21
21700,47.14659194,4.938547235,21
21490,47.364558205,5.15151447,21
21450,47.60887188,4.701250579,21
21260,47.560887274,5.217741354,21
21370,47.377799819,4.851793,21
21120,47.577930533,4.98200027,21
21270,47.30183098,5.412855754,21
21140,47.469033929,4.358028888,21
21350,47.421600843,4.526209252,21
21150,47.503297238,4.460638979,21
21390,47.401240858,4.3167685,21
21190,46.947091788,4.759109401,21
21540,47.290328508,4.729283169,21
21220,47.188519649,4.8964774040000005,21
21570,47.98893583,4.680413288,21
21530,47.381808962,4.171292015,21
21350,47.366544356,4.580822499,21
21510,47.755701686,4.66250177,21
21230,47.056499669,4.529292945,21
21500,47.651551426,4.301138244,21
21320,47.187339843,4.621206885,21
21130,47.116270528,5.377231654,21
21170,47.089991272,5.364989001,21
21910,47.226273938,5.049911015,21
21120,47.55047575,5.021936931,21
21380,47.433787821,5.042452703,21
21430,47.121776524,4.278323511,21
21310,47.377255728,5.275276086,21
21260,47.594872957,5.199699518,21
21110,47.210269406,5.298465765,21
21350,47.326939684,4.533826433,21
21430,47.214701115,4.372495889,21
21190,46.965383102,4.817096603,21
21270,47.290368051,5.298321457,21
21220,47.200068883,4.833483748,21
21570,47.941219611,4.682348955,21
21340,47.028255345,4.527385032,21
21130,47.18956268,5.351594816,21
21440,47.391005002,4.763312049,21
21220,47.264348371,4.846753784,21
21400,47.915596751,4.5698607540000005,21
21400,47.841883898,4.72633461,21
21370,47.31841782,4.909254473,21
21390,47.366958331,4.317209988,21
21270,47.267919458,5.452905452,21
21700,47.149574973,4.901042971,21
21140,47.508690789,4.378889697,21
21120,47.499501248,5.018851336,21
21450,47.575777126,4.591744222,21
21140,47.436145596,4.399624608,21
21120,47.567744921,5.109382796,21
21690,47.429718234,4.7130539670000005,21
21500,47.562369649,4.284225414,21
21700,47.159707034,4.955601964,21
21290,47.830393641,4.7761407,21
2420,49.990651457,3.220766101,02
21560,47.338758397,5.200858874,21
2160,49.402887168,3.659773112,02
21700,47.068592327,5.024747349,21
2000,49.529088286,3.537037569,02
21170,47.127737411,5.164587968,21
2400,49.057012938,3.42403027,02
21130,47.188769135,5.414341888,21
2480,49.774144853,3.141582586,02
21510,47.725468508,4.733641886,21
2210,49.140371179,3.423549684,02
21310,47.462096204,5.347585709,21
2210,49.184262001,3.350004368,02
21200,47.025576567,4.837332378,21
2500,49.907619378,4.056800114,02
21310,47.417985549,5.213578936,21
2200,49.310243779,3.347968795,02
21310,47.357498296,5.274054345,21
2260,49.973535545,3.913302584,02
21500,47.576889187,4.394799063,21
2490,49.864831923,3.111035178,02
21350,47.355565978,4.496175516,21
2320,49.558013373,3.48118285,02
21220,47.181886714,4.839545062,21
2880,49.423064084,3.305405211,02
21310,47.466173935,5.279200729,21
2860,49.463497769,3.720222977,02
21130,47.142403316,5.419333695,21
2000,49.465725095,3.593387726,02
21450,47.552807572,4.734849153,21
2880,49.428547607,3.363807361,02
21540,47.369429248,4.735378967,21
21320,47.302443521,4.45981531,21
21690,47.488803885,4.696760719,21
21250,47.086560546,5.142300288,21
21350,47.361381554,4.5415981940000005,21
21400,47.729556831,4.609263197,21
21490,47.410459987,5.167987771,21
21400,47.817618901,4.5768700110000005,21
21510,47.738604881,4.652764477,21
21580,47.662975953,4.979967455,21
21360,47.226645175,4.699258629,21
21120,47.47641997,5.059334299,21
21220,47.227547273,4.902611275,21
21690,47.399897791,4.681078429,21
21440,47.525457663,4.740473645,21
21350,47.331625283,4.426160609,21
21400,47.952829103,4.53964668,21
21320,47.219410354,4.651494434,21
21610,47.580389843,5.360944654,21
21260,47.558356031,5.285555428,21
21540,47.390913656,4.653419584,21
21250,47.010419339,5.009086484,21
21190,46.945432822,4.796477767,21
21910,47.169310047,5.083154661,21
21460,47.518072499,4.202946473,21
21520,47.916042505,4.739347962,21
21500,47.607043299,4.310004284,21
21360,47.181364989,4.681666854,21
21230,47.164462236,4.584557496,21
21121,47.360475308,4.969138487,21
21220,47.174737459,4.78765265,21
21270,47.33437116,5.379212117,21
21540,47.343804139,4.695470345,21
21510,47.636968721,4.693116012,21
21120,47.54742268,5.160449294,21
21290,47.757717838,4.794804435,21
21500,47.701324785,4.439957105,21
21400,47.88918412,4.520031537,21
21640,47.159223964,4.982765188,21
21230,47.125151368,4.552123433,21
21450,47.649509782,4.53489255,21
21121,47.347500029,5.024680391,21
21700,47.128563173,4.816944081,21
21140,47.524548939,4.284428836,21
21250,47.03994688,5.10704485,21
21330,47.875859681,4.366062352,21
21250,47.009392203,5.23598254,21
25320,47.133644066,5.872795299,25
21290,47.828585054,4.927911955,21
25310,47.427178279,6.922075563,25
21121,47.375804434,4.980513731,21
25270,46.915171749,6.005864119,25
21270,47.336140039,5.466019225,21
25150,47.389276318,6.810998645,25
21250,46.984532655,5.172618372,21
25720,47.201655108,5.9557621990000005,25
21310,47.383947105,5.422317798,21
25110,47.354300319,6.34312446,25
21110,47.257486869,5.247621807,21
25380,47.263740562,6.650637647,25
21140,47.542172647,4.378062518,21
25430,47.320330835,6.616289923,25
21250,47.053108372,5.142430626,21
25420,47.465980255,6.746962924,25
21520,47.902489216,4.887601319,21
25410,47.201214992,5.780426556,25
21520,47.889336315,4.763793794,21
25000,47.255181494,6.019309828,25
21120,47.488104094,5.217835902,21
